5425;58;Современная архитектура;Евдокимова Л.В., 
;;2010 № 511904/4;Шкурина Т.
;;2010 № 511904/3;
;;2010 № 511640/1;
;;2010 № 511640/3;
;;2010 № 511904/2;
;;№ 511640/4;
;;№ 511904/1;
;;№ 511904/5;
;;№ 511640/2;
;;№ 511904/1;
;;Сотбис;
;;2005 № 045533;
;;2009 № 052397;
;;1993 № 040439;
;;2008 № 052374;
;;2001 № 061049;
;;1993 № 054614;
;;1988 № 061265;
;;1998 № 060802;
;;2000 № 059434;
;;2005 № 045517;
;;2000 № 059062;
;;1999 № 060772;
;;1999 № 060285;
;;2006 № 046939;
;;2005 № 045481;
;;2006 № 052604;
;;2005 № 045773;
;;2006 № 046893;
;;2000 № 060875;
;;2000 № 048798;
;;1999 № 060611;
;;2000 № 060531;
;;2004 № 044630;
;;2004 № 045399;
;;2004 № 043704;
;;2007 № 047214;
;;1993 № 046062;
;;1998 № 059525;
;;1997 № 060306;
;;1996 № 058986;
;;2007 № 047208;
;;1999 № 060889;
;;2000 № 060826;
;;2001 № 043401;
;;2010 № 052626;
;;1999 № 060804;
;;1998 № 060824;
;;2001 № 060762;
;;1997 № 060555;
;;1998 № 060807;
;;1976 № 039529;
;;2004 № 043513;
;;2005 № 045691;
;;2005 № 045721;
;;2006 № 052590;
;;2001 № 060147;
;;2009 № 052115;
;;2007 № 047231;
;;;
