Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5066;64;"Экран 1925 – (1-10), (13-15), (16-37); (1927 25-
30, 46, 1928 -1,2,4); 1926 –(1,5,6,8-35,36); 1928 –
(1-26), (27-52); 1930 – (10,15,25,28,29,30,35,36);
1991 – (1-8), (9-12, 13,14,16,18); 1992 – (2,5,7);
1993 – (1-6), (7-12), (1-6), (8,9,10/12); 1994 – (1-
10), (1-10); 1995 – (1-10); 1996 – (1-6).
Экспо ювелир – 2022 - № 1. Электронная музыка -2008 – 1,2,3,4,5,6;
2009 – 1,2.
Элита – 1993 – 7; 1994 – 8, 10, 12; 1995 – 5,
8,10; 1996 – 1
Эрмитаж – 1922 – (1-15).
Этнографическое обозрение – 1993 – 1-6;
1994 – 1-6; 1995 – 1-6; 1996 –1-6; 1997 – 1-4";"27.07.2023
Акименко А.В. Ковтуненко М.П."
6838;90;"Экран
1937 № 5, 7
1938 №№ 1, 2, 3, 4, 5, 6, 9, 11
1939 №№ 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19 
1991 № 1-18 (подшивка)
1992 № № 1-9 (подшивка)
1993 № 1-6, (подшивка) № 7-12 (подшивка)
1994 № 1-6 (2 экз.) (подшивки), № 7-10 (подшивка), №№ 1, 4
1995 № 2, 3, 5/6, 7, 8, 9, 10, 
№ 1-6 (подшивка), № 7-10 (подшивка)
1996 № 1, 2, 3/4, 5, 6, 7/8 (2 экз.), № 1-8 (подшивка)
1997 № 1
Эрмитаж
2008 № 3
2010 № 1/2
2013 № 1/2
2015 № 21
2018 №№ 26, 27
2022 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14
Эскиз
2013 № 3-4-5 
№ 6-7-8 
№ 9-10-11-12
2014 № 1, 2, 3, 4/6
2015 № 1/2, 3, 4/5, 6
2016 №№ 1, 2, 3, 4, 5
2017 №№ 2, 3, 4, 5/6


 



";"Заигрова Коваленко
13.07.2023"
6839;68;"Эскиз
2018 №№ 1, 2, 3, 4, 5, 6
2019 №№ 1, 2, 3, 4, 5, 6
2020 №№ 1, 2, 3, 4, 5, 6
2021 №№ 1, 2, 3, 4, 5, 6
2022 №№ 1, 2, 3, 4, 5, 6
2023 №№ 2, 3
Эстрада и цирк
1992 № 1-6 (подшивка), 7-8 (подшивка)
№1-2, 5-12 (подшивка)
1993 № 1-6(подшивка) (2 экз.)
Эстетическое воспитание
2001 №№ 1, 2, 3, 4, 5/6
Этническая культура
2020 № 4/5
2021 № 1
2022 № 1, 2, 3, 4
2023 № 1, 2
Этнографическое обозрение
2016 №№ 1, 2, 3, 4, 5, 6
2017 №№ 1, 2, 3, 4, 5, 6
2018 №№ 1, 2, 3, 4, 5, 6
2019 №№ 1, 2, 3, 4, 5, 6
2020 №№ 1, 2, 5, 6



";"Заигрова Коваленко
13.07.2023"
5067;92;"Этнографическое обозрение – 1997 – 5,6;
1998 – 1-6; 2002 – 1-6; 2003 – 1-6; 2004 – 1-6;
2005 -1-6; 2006 – 1-6; 2007 – 1-6; 2008 – 1-6;
2009 – 1-6; 2010 – 1-6; 2011 – 1-6; 2012 – 1-6;
2013 – 3-6; 2014 – 1-6; 2015 -1-6.
Этносфера – 2003 – (1-12); 2004 –(1-12)";"27.07.2023
Акименко А.В. Ковтуненко М.П."
6840;79;"Этнографическое обозрение
2021 №№ 4, 5, 6
2022 №№ 1, 2, 3, 4, 5
Этнография
2020 № 4
2021 № 3, 4
2022 № 1, 2, 3, 4
Эхо
1922 №№ 1, 2, 4
1923 № 5-15 (подшивка) № 5, 7, 8, 9, 10, 11, 12, 13, 14, 15
1924 № 1
1925 № 1-11 (подшивка), 13-24 (подшивка)
Эхо театра
1925 № 1-3(подшивка)
1926 № 6,7 (подшивка)
Южная звезда
2021 № 2
Южное сияние
2019 № 1
Южно-российский музыкальный альманах
2010 № 2
2011 №№ 1, 2
2013 № 2
2014 №№ 1, 2, 3, 4
2015 № 1, 2
2016 №№ 1, 2, 4
2017 №№ 1, 2, 3, 4
2018 №№ 1, 2, 3, 4
2019 №№ 1, 2, 3
2020 № 4
2021 №№ 1, 2, 3, 4
2022 №№ 1, 2, 3, 4
2023 № 1
Южный театральный вестник
2007 № 1-12 (подшивка)
2008 № 1-10 (подшивка)
ЮМ: технологии, оборудования
2004 № 5/6
Язык. Словесность. Культура.
2018 № 6
2019 № 1/2, 3, 4/5, 6
2020 № 1/2





";"Заигрова Коваленко
13.07.2023"
5068;130;"Этносфера – 2008 – (10 ед.); 2009 –
2,3,4,5,6,7,8,9,10,11,12; 2010 – 1-5, 7,8,9,11,12;
2011 – 1-12; 2012 – 1-4, 5/6; 2004 -2,3.
Эхо – 1922 – (1-4); 1924 -1; 1925 – (1-24).
Ювелирная Россия – 2012 – 1-6; 2013 – 1-6;
2014 – 1,2,3,6; 2015 – 1-6; 2016 – 1-6; 2017 – 1-
6; 2018 – 2-6; 2019 – 1-6; 2020 – 1,2,5; 2021 –
1,3, 5; 2022 -1,3,4.
Ювелирный мир – 2002 – 1-4,6; 2003 – 1, 2,
3-4, 5,6; 2004 – 1-6; 2005- 1-6.";"27.07.2023
Акименко А.В. Ковтуненко М.П."
